ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Downloads,Price
8477830029,TrÃ nsit (Area contemporÃ nia),Jaume CapÃ³,1987,Area,12,99
8478800336,CÃ³mo ser una mujer y no morir en el intento (ColecciÃ³n El Papagayo),Carmen Rico-Godoy,1990,Ediciones Temas de Hoy,7,109
8478884963,Una casa en Irlanda,Maeve Binchy,1999,Salamandra,7,79
600586898,Blur (Melody Maker),Paul Lester,1995,Hal Leonard Corp,25,119
044021145X,The Firm,John Grisham,1992,Bantam Dell Publishing Group,1,0
801491827,Feminism and Suffrage, The Emergence of an Independent Women's Movement in America, 1848-1869,Ellen Carol Dubois,1980,Cornell University Press
870441663,The wild ponies of Assateague Island (Books for young explorers),Donna K Grosvenor,1975,National Geographic Society,0,149
1561561428,Frankenstein (Illustrated Classics Series),Mary Wollstonecraft Shelley,1992,Kidsbooks.Com,2,249
895774666,Watercolor School (Reader's Digest Learn-As-You-Go Guides),Hazel Harrison,1993,Readers Digest,13,129
60925000,A Suitable Boy , Novel, A,Vikram Seth,1994,Perennial
880011025,Unattainable Earth,Czeslaw Milosz,1987,Ecco Press,0,109
887641486X,I Giorni Dell'abbandono,Elena Ferrante,2002,Edizioni E/O,7,199
140370900,The Gizmo,Paul Jennings,1995,Puffin,19,59
674511255,The Last Best Hope of Earth, Abraham Lincoln and the Promise of America,Mark E., Jr. Neely,1993,Harvard University Press
30096189,Organic Chemistry (Saunders Golden Sunburst Series),Stephen J. Weininger,1994,Saunders College Publishing,16,99
395710901,Punished by Rewards, The Trouble With Gold Stars, Incentive Plans, A'S, Praise, and Other Bribes
823032612,Oil Painting Techniques (Artist's Painting Library),David Lewis,1983,Watson-Guptill Publications,3,199
679310002,Going down swinging,Billie Livingston,1999,Random House Canada,1,176
1561672033,Antipodes 10,John Pascal,1995,Noble House,19,149
1562827049,The Diary of Jack the Ripper/the Discovery, the Investigation, the Debate,Jack,1993,Hyperion Books
307001164,101 Dalmatians,Justine Korman,1996,Golden Books Publishing Company,3,5
865050880,I Like School (in My World Series),Bobbie Kalman,1985,Crabtree Publishing Company,2,199
399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper),20,164
425174484,Expecting Adam, A True Story of Birth, Rebirth, and Everyday Magic,Martha Beck,2000
446523992,A Call to Conscience , The Landmark Speeches of Dr. Martin Luther King, Jr.,Kris Shepard,2001,Warner Books
2266033689,Le Diable Au Corps,Raymond Radiguet,0,Presses Pocket French,3,119
3499177757,Die Grenzen des Geschlechts, Anleitungen zum Sturz des internationalen Patriarchats , Amnesty for Women (Rororo Sachbuch),Cheryl Benard,1984,Rowohlt
3502670005,I Ging. Das Buch der Wandlung. Das groÃ?Â?e Weisheits- und Orakelbuch der alten Chinesen.,John. Blofeld,1999,O. W. Barth Bei Scherz,3,139
3746670055,Women are the Niggers of the World, Ã¼ber Frauen, Herrenmenschen und Nietzsches Peitsche (AtV Dokument und Essay),Peter B Heim,1994,Aufbau Taschenbuch Verlag
385420161,Like Water for Chocolate, A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies,Laura Esquivel
718144538,Shattered Uk,Dick Francis,0,Michael Joseph Ltd,6,99
747549923,Last Exit to Brooklyn,Hubert Selby,2000,Bloomsbury Pub Ltd,3,249
2871290911,XIII, tome 13, L'enquÃ?Âªte , the XIII mystery,Jean Van Hamme,1999
1842151053,Cooking for One (Cook's Essentials),Valerie Ferguson,2000,Southwater Publishing,1,0
2264009306,"CantilÃ¨nes en gelÃ©e , Barnum's digest , Vingt poÃ¨mes inÃ©dits (10/18 [i.e. Dix/dix-huit] , 517)",Boris Vian,1978,Union gÃ©nÃ©rale d'Ã©ditions,0,119
1841952931,Glasgow Zen,Alan Spence,2002,Canongate Books Ltd,3,99
747538069,The Adventures of Dougal,Eric Thompson,1998,Bloomsbury Publishing PLC,4,59
60927240,Rule of the Bone , Novel, A,Russell Banks,1996,Perennial
1886383421,Fires of Aggar,Chris Anne Wolfe,2001,Windstorm Creative,12,129
1888451084,Kamikaze Lust,Lauren Sanders,2000,Akashic Books,2,99
962893862,Return to Isis,Jean Stewart,1992,Rising Tide Press (AZ),8,69
1563899388,Death, At Death's Door (Vertigo, Number 1),Jill Thompson,2003,DC Comics
786889160,No Shirt, No Shoes, No Problem!,Jeff Foxworthy,1997,Warner Books (Mm)
553574175,Star Wars the Rebel Dawn, The Han Solo Trilogy (Star Wars, Han Solo Trilogy (Paperback)),A.C. Crispin,1998,Spectra Books
312287240,A Year of Full Moons,Madelyn Arnold,2002,Stonewall Inn Editions,1,229
345429176,Ufos, JFK and Elvis, Conspiracies You Don't Have to Be Crazy to Believe,Richard Belzer,1999,Ballantine Books
038529929X,Hannibal,Thomas Harris,1999,Del Sol Press,2,139
517201658,The Thorn Birds (Modern Classics),Colleen McCullough,1998,Wings,1,100
1884777805,Elements of Programming With Perl,Andrew L. Johnson,1999,Manning Publications,1,89
804001944,The Man Who Killed the Deer,Frank Waters,1970,Ohio University Press,1,59
043922165X,Circles in the Stream (Avalon, Web of Magic, 1),Shelly R. Roberts,2001,Scholastic
439221706,Avalon, Web Of Magic #5, Spellsinger,Rachel Roberts,2002,Scholastic Paperbacks
895872102,The Hauntings of Williamsburg, Yorktown, and Jamestown,Jackie Eileen Behrend,1998,John F. Blair Publisher
753804700,Reader,Bernhard Schlink,0,Phoenix Books,2,0
521427150,Belonging in the Two Berlins , Kin, State, Nation (Cambridge Studies in Social and Cultural Anthropology),John Borneman,1992
884111342,Lady of the Shroud,Bram Stoker,1989,Amereon Limited,5,79
080901582X,The Return of Simple,Langston Hughes,1995,"Hill &amp, Wang",1,0
380820447,For Better, for Worse, A Novel,Carole Matthews,2002,Avon Trade
898151910,How to Make $1,000 a Minute, Negotiating Salaries and Raises,Jack Chapman,1987,Ten Speed Pr
835949362,Non-manipulative selling,Anthony J Alessandra,1981,Reston Pub. Co,3,59
688048730,Thinking on paper,V. A Howard,1986,W. Morrow,12,299
793133955,"Wall Street's Picks for 2000, An Insider's Guide to the Year's Best Stocks &amp, Mutual Funds (Wall Street's Picks)",Kirk Kazanjian,1999,Dearborn Financial Publishing,19,69
743201078,The Secret Lives of Girls, What Good Girls Really Do--Sex Play, Aggression, and Their Guilt,Sharon Lamb,2002
381999866,Magic House of Numbers.,Irving. Adler,1974,Harpercollins Library,2,89
1585007366,Sang Froyd (Balona Books),Jonathan Pearce,1999,1stBooks Library,4,199
805062971,Fight Club,Chuck Palahniuk,1999,Owl Books,1,199
945397410,Outhouses of Alaska,Harry M. Walker,1996,Epicenter Press,1,129
876850867,Post Office,Charles Bukowski,1980,Black Sparrow Books,1,69
874067391,A Little Princess,Frances Hodgson  Burnett,1996,Pages Publishing Group,1,69
975311255,A Temporary New Wife,Malcolm Goodway,2004,AuthorsOmniscient Publishers,1,90
393961192,The American Constitution, Its Origins and Development, Seventh Edition, Volume II,Alfred H. Kelly,1991
9997522052,Collected Works of Emile Zola,Emile Zola,2001,"Chatto &amp, Windus",0,45
835607860,The Illustrated Encyclopedia of Buddhist Wisdom,Gill Farrer-Halls,2000,Quest Books,2,99
1558747346,Teen Love,  On Relationships, A Book for Teenagers,Kimberly Kirberger,1999,Health Communications
965975401,Cool Women,Dawn Chipman,1997,Girl Press,2,199
8885989632,Patapim e patapam (Le formiche),Antonio Albanese,1994,"Baldini&amp,Castoldi",1,79
684819066,A Beautiful Mind , A Biography of John Forbes Nash, Jr.,Sylvia Nasar,1998,"Simon &amp, Schuster"
395353416,Slippage, Previously Poised, Previously Uncollected Stories,Harlan Ellison,1997,Houghton Mifflin
3822813397,Schamanismus. Reisen der Seele. Magische KrÃ?Â¤fte. Ekstase und Heilung.,Piers Vitebsky,2001,Taschen Verlag,2,169
812551389,The Skystone (Whyte, Jack. Camulod Chronicles, Bk. 1.),Jack Whyte,1996,Forge
345298985,One Tree (Donaldson, Stephen R. Second Chronicles of Thomas Covenant, Bk. 2.),Stephen R. Donaldson,1982,Ballantine Books
915950839,How to Get Your Kid to Eat but Not Too Much,Ellyn Satter,1987,Bull Publishing Company,1,99
067101420X,Forever... , A Novel of Good and Evil, Love and Hope,Jude Deveraux,2002,Pocket
942257324,The Earth House,Jeanne Duprau,1992,New Chapter Press,3,129
460878263,Samuel Taylor Coelridge (Everyman Poetry Library),John Beer,1997,Everyman Paperback Classics,0,299
3746670144,Ich, Prinzessin Viola, Ein altes Haus und seine Besetzer,Claudia von Zglinicki,1995,Aufbau Taschenbuch Verlag
330376136,Once,James Herbert,2002,Pan,1,0
3608919724,Der kleine Taschentherapeut. In 60 Sekunden wieder o.k.,Arnold A. Lazarus,1999,Klett-Cotta,1,139
379411664X,Was ist das?,Virginia Allen Jensen,1993,SauerlÃ?Â¤nder,0,59
972948503,Gifted Trust,John Paul Allen,2003,Biting Dog Publications,1,176
140099832,Lake Wobegon Days,Garrison Keillor,1990,Penguin/Puffin Mass Market (Mm),3,79
939766027,Fantastic Four Illustrated Books,Stan Lee,1982,Marvel Books,1,9
679741011,Sex, Art, and American Culture, Essays,Camille Paglia,1992
1895383129,Kriya Yoga Sutras of Patanjali and the Siddhas,Georg Feverstein,2001,Kriya Yoga Publications,5,99
1573228567,My Grandfathers Blessings , Stories of Strength, Refuge, and Belonging,Rachel Naomi Remen M.D.,2001
826308791,The Education of Little Tree (A Zia Book),Forrest Carter,1986,University of New Mexico Press,1,0
830724982,Knockin' at Heaven's Door,Stephen Hill,1999,Regal Books,3,59
929587081,Men and Brethren,James Gould Cozzens,1989,Elephant Paperbacks,0,0
963270702,The Satanic Verses,Salman Rushdie,1992,Distributors,8,89
855030224,An ABC for You and Me,Margaret Tempest,0,The Medici Society Ltd,1,0
861638522,Popular Reward, the Brave Toy Soldier, And Other Stories (Enid Blyton's Popular Rewards Series VII),Enid Blyton,1996,Award Publications
1578562333,No Eye Can See (Kirkpatrick, Jane, Kinship and Courage Historical Series, Bk. 2.),JANE KIRKPATRICK,2001
802433243,Only the Wind Remembers,Marlo Schalesky,2003,Moody Publishers,2,149
802069347,Gibson's Student Guide to Western Canadian Universities,Dyanne Gibson,1993,University of Toronto Press,2,149
037570504X,Breath, Eyes, Memory,Edwidge Danticat,1998,Vintage Books USA
472113658,Where No Gods Came (Michigan Literary Fiction Awards),Sheila O'Connor,2003,UMP,7,176
609608444,The Devil in the White City , Murder, Magic, and Madness at the Fair That Changed America (Illinois),ERIK LARSON,2003
915811332,Sacred Journey of the Peaceful Warrior,Dan Millman,1991,H.J. Kramer,1,149
014131088X,Speak,Laurie Halse Anderson,2001,Speak,2,99
096478260X,Miracle in the Void, Free Energy, Ufos and Other Scientific Revelations,Brian O'Leary,1996,Kamapua'a Press
553486411,Clones (Star Wars, Galaxy of Fear, Book 11),JOHN WHITMAN,1998,Skylark
3478088534,Jetzt will ichs wirklich wissen. Mit mentaler Powertechnik Ziele erreichen.,Peter Kummer,2002,Moderne Verlagsges. Mvg,8,99
848705459,Cooking Light,Susan M. McIntosh,1983,Leisure Arts,3,29
307132668,Bye, Bye, Butterfree (Pokemon Adventure (Golden Numbered)),Diane Muldrow,1999,Golden Books
890842795,English Handbook for Christian Schools,Grace Colling,2001,Bob Jones Univ Pr,1,149
8481301132,El Gran Gatsby,F.Scott Fitzgerald,2001,Colleccion Millenium,2,179
451402103,Bitter Blood, A True Story of Southern Family Pride, Madness, and Multiple Murder,Jerry Bledsoe,1997
791423549,Native American Postcolonial Psychology (Suny Series in Transpersonal and Humanistic Psychology),Eduardo Duran,1995,State University of New York Press,1,99
880387483,Tantras (Forgotten Realms,  Avatar Trilogy, Book 2),Richard Awlinson,1989,Wizards of the Coast
880387300,Shadowdale (Forgotten Realms,  Avatar Trilogy, Book One),Scott Ciencin,1989,Wizards of the Coast
380773155,It Happened to Nancy , By an Anonymous Teenager, A True Story from Her Diary (Confident Collector),Beatrice Sparks,1994,Avon
3404100263,Die Nadel,Ken Follett,1980,Gustav Lubbe Verlag GmbH,1,89
2723409821,Balade au bout du monde, tome 4 , La pierre de folie,Laurent Vicomte,1993,GlÃ?Â©nat
2258036992,La porte obscure,Philip K. (Philip Kindred) Dick,1994,Presses de la CitÃ?Â©,1,99
2207251756,Nouvelles , tome 2, 1953-1981,Philip Kindred Dick,2000,DenoÃ?Â«l
2266000489,La Nuit Des Temps,Rene Barjavel,0,Presses De La Cite French,4,300
1579730272,The Not-So-Perfect Picnic,Disney Enterprises Inc,1998,Advance Publishers LLC,3,29
812094271,Miro (Famous Artists),Nicholas Ross,1995,Barron's Educational Series,1,69
7108648,Whizzard (Tales of the Dark Forest S.),Steve Barlow,2003,Trafalgar Square Books,0,149
8420725927,Lazarillo De Tormes (Biblioteca Didactica Anaya),Anonimo,1998,Continental Book Company,1,99
1559277785,Full House,Janet Evanovich,2002,Audio Renaissance,3,149
1560980087,Bertha Lum (American Printmakers),Mary Evans O'Keefe Gravalos,1991,Smithsonian Inst Pr,2,149
803281730,The Rocky Mountain Wonderland,Enos A. Mills,1991,Univ of Nebraska Pr,0,89
785324712,All New Great American Favorite Brand Name Cookbook,Ltd Editorial Staff Publication International,1997,Publications International,7,299
934257345,Glad Rags,MacDonald Harris,1991,Story Line Press,0,164
670867144,The 3,000 Mile Garden, An Exchange of Letters on Gardening, Food, and the Good Life,Leslie Land
089480829X,What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg,1996,Workman Pub Co,0,0
971453209,On Becoming Baby Wise, The Classic Reference Guide Used by Over 1,000,000 Parents Worldwide,Gary Ezzo,2001
872860175,Howl and Other Poems (Pocket Poets),Allen Ginsberg,1956,City Lights Publishers,1,120
031219126X,Frankenstein, Complete, Authoritative Text With Biographical, Historical, and Cultural Contexts, Critical History
1574551108,Catechism of the Catholic Church,Catholic Church,2000,USCCB,1,349
965712516,The Missionary's Catechism,Russell L. Ford,1998,US,3,189
805420460,Mere Christianity,C. S. Lewis,2000,"Broadman &amp, Holman Pub",7,99
1575666529,Wedding Day Murder, A Lucy Stone Mystery (Meier, Leslie. Lucy Stone Mystery.),Leslie Meier,2001,Kensington Publishing Corporation
881787017X,Senza Sangue,Alessandro Baricco,2002,Rizzoli Publications,11,248
786248688,The Book of Illusions (Thorndike Americana),Paul Auster,2003,Thorndike Press,0,0
884040801,Self Analysis,Ron L. Hubbard,1982,Bridge Pubns,2,109
751522732,Shes Leaving Home,Edwina Currie,2001,Little Brown UK Ltd,1,110
1888740051,Climbing Mt. Shasta, Route 1, Avalanche Gulch,Steve Lewis,1996,Photografix
399501487,Lord of the Flies,William Gerald Golding,1959,Perigee Trade,2,249
425188361,Cerulean Sins, An Anita Blake, Vampire Hunter Novel,Laurell K. Hamilton,2003,Berkley Publishing Group
61093106,Red, White and Blue , A Novel,Susan Isaacs,1999,HarperTorch
1555973981,Baby B,Michael Ryan,2004,Graywolf Press,1,99
1590171012,"The Magic Pudding, Being the Adventures of Bunyip Bluegum and His Friends Bill Barnacle &amp, Sam Sawnoff (New York Review Children's Collection)",Norman Lindsay,2004,New York Review Children's Collection,8,149
752999958,Jurassic Park/Congo,Crichton Michael,1997,Random House UK Ltd (A Division of Random House Group),7,149
1888698357,The Mighty 'Mox, The 75th Anniversary History of the People, Stories, and Events That Made Kmox a Radio Giant,Sally Rains,2000
913367176,Stories for the Faithful Heart,various authors,2000,Graham, Billy Evangelistic Association,0
933121245,Book of African Names,Osuntoki,1990,Black Classic Press,2,99
850315336,Nothingmas Day,Adrian Mitchell,1986,Random House (Merchandising),2,0
884053660,The world of PelÃ©,Joe Marcus,1976,Mason/Charter,2,149
155143234X,Flight from Big Tangle (Orca Young Reader),Anita Daher,2003,Orca Book Publishers,1,164
1892051001,Guinness 2000 Book of Records, Millennium Edition (Guinness Book of Records, 2000),Guinness Media Inc.,1999,Guinness Records
1558747478,Chicken Soup for the Parent's Soul , 101 Stories of Loving, Learning and Parenting (Chicken Soup for the Soul (Paper)),Mark Victor Hansen,2000,Health Communications
72453907,Leading Corporate Citizens,Sandra  Waddock,2001,McGraw-Hill/Irwin,4,129
1884822738,"Big Little Book of Irish Wit &amp, Wisdom, Six Volumes in One , Irish Blessings, Irish Toasts, Irish Proverbs, Irish Riddles, Irish Laws, Irish Wisdom",Fergus Kelly,1997,"Black Dog &amp, Leventhal Publishers",0,79
6550789,253,Geoff Ryman,0,Flamingo,4,164
877287384,The Japanese Cult of Tranquillity,Karlfried Durckheim,1992,Weiser Books,3,99
1931412677,Feel Good Naked,Laure Redmond,2001,Fair Winds Press,1,0
8489618844,Sangre a Borbotones (Coleccion Nueva Biblioteca),Rafael Reig,2002,Ediciones Lengua de Trapo,1,59
316314641,Rhoda , A Life in Stories Tag, Winner of the National Book Award for Fiction,Ellen Gilchrist,1995,Back Bay Books
786808772,Summerland,Michael Chabon,2002,Miramax Kids,2,89
1566091446,Photoshop 3 for Macintosh (Visual Quickstart Guide),Elaine Weinmann,1995,Peachpit Press,3,59
399519831,Inside Corporate America, A Guide for African Americans,Wilson, III Simmons,1996,Perigee Books
316919896,A Supposedly Fun Thing I'll Never Do Again , Essays and Arguments Tag, Author of Infinite Jest,David Foster Wallace,1997,Little
038548951X,Sister of My Heart,Chitra Banerjee Divakaruni,2000,Anchor Pub,2,119
006015456X,Always Coming Home/Paperback Book and Cassette,Ursula K. Le Guin,1985,Harperaudio,2,69
965624773,Finding Laura Buggs,Stanley Gordon West,1999,Lexington-Marshall Pub.,1,79
812505166,Wuthering Heights,Emily Bronte,1989,Tor Classics,1,109
385254520,Keeper n' Me,RICHARD WAGAMESE,1994,Anchor Canada,8,109
60170441,Eat Smart, Think Smart, How to Use Nutrients and Supplements to Achieve Maximum Mental and Physical Performance,Robert Haas,1994,Harpercollins
91880955,The Luberon Garden,Alex Dingwall-Main,2002,Ebury Press,1,0
737020121,Cooking for Yourself (Williams-Sonoma Lifestyles , Vol 12, No 20),Janet Kessel Fletcher,1999,Time-Life Books
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,2,29
373301847,Return to Yesterday (Western Lovers Reunited Hearts),Annette Broadrick,1987,Harlequin Books SA,3,149
373301537,Painted Sunsets (Western Lovers Ranch Rogues),Rebecca Flanders,1987,Harlequin Enterprises Limited,3,149
821724231,Beneath the Silent Sea,Richard P. Henrick,1988,Zebra/pinnacle Books,1,200
425109267,Supercarrier, An Inside Account of Life Aboard the World's Most Powerful Ship, the Uss John F. Kennedy,George C. Wilson,1992,Berkley Pub Group
140348107,My Side of the Mountain,Jean Craighead George,2000,Scott Foresman (Pearson K-12),2,370
2743606789,Du bon usage de la lenteur,Pierre Sansot,2000,Rivages,25,119
345443683,Blackwood Farm (Rice, Anne, Vampire Chronicles.),ANNE RICE,2003,Ballantine Books
890420254,Diagnostic and Statistical Manual of Mental Disorders DSM-IV-TR (Text Revision),American Psychiatric Association,2000,American Psychiatric Association,13,59
778800229,America's Best Slow Cooker Recipes,Donna-Marie Pye,2000,Robert Rose,2,59
765348438,The Hunt Begins, The Great Hunt, Part 1 (The Wheel of Time, Book 2, Part 1),Robert Jordan
871401185,Introductory Lectures on Psychoanalysis,Sigmund Freud,1989,Liveright Publishing Corporation,1,99
1929194196,Sun Tzu's The Art of War Plus The Original Chinese Revealed,Sun Tzu,2003,Clearbridge Publishing,2,99
804832463,One Arrow, One Life, Zen, Archery, Enlightenment,Kenneth Kushner
312269587,Plane Insanity, A Flight Attendant's Tales of Sex, Rage, and Queasiness at 30,000 Feet,Elliott Hester
340612843,Love Me Tender (Starlight),Libby Hathorn,0,Hodder Headline Australia,1,29
009945520X,How to Make Square Eggs,Paul Temple,1986,Random House Children's Books (A Division of Random House Group),25,199
3502517959,Die Spinne und das MÃ?Â¤dchen.,Sophie Schallingher,2001,Scherz,25,149
3310005844,20 Jahre 40 bleiben. Jung und schÃ?Â¶n in den besten Jahren.,Josephine Fairley,1999,Midena,23,149
1578562325,All Together in One Place, A Novel of Kinship, Courage, and Faith (Kirkpatrick, Jane. Kinship and Courage Historical Series, Bk. 1.)
385484518,Tuesdays with Morrie, An Old Man, a Young Man, and Life's Greatest Lesson,MITCH ALBOM,1997
076790396X,The Pilates Body, The Ultimate At-Home Guide to Strengthening, Lengthening, and Toning Your Body--Without Machines,Brooke Siler,2000
1572241381,The Self-Esteem Companion,Matthew McKay,1999,New Harbinger Publications,1,49
345443411,What Women Want, What Every Man Needs to Know About Sex, Romance, Passion, and Pleasure,Laurence Roy Stains
1592400876,"Eats, Shoots &amp, Leaves, The Zero Tolerance Approach to Punctuation",Lynne Truss,2004,Gotham Books,1,49
753811464,Maya,Jostein Gaarder,0,Phoenix mass market p/bk,2,59
340697687,Film Studies (Teach Yourself Educational S.),Warren Buckland,1998,Hodder Arnold Teach Yourself,6,149
517084732,Good Advice , More Than 2,000 Quotations to help You Live Your Life,WILLIAM SAFIRE,1993,Gramercy
1581820542,"The Little Book of Big Ideas, Inspiration, Encouragement &amp, Tips to Stimulate Creativity and Improve Your Life",Harold R. McAlindon,1999,Cumberland House Publishing,2,119
452284058,What Every American Should Know About the Rest of the World, Your Guide to Today's Hot Spots, Hot Shots, and Incendiary Issues,M. L. Rossi,2003
1564146731,The Know-It-All's Guide to Life, How to Climb Mount Everest, Cure Hiccups, Live to 100, and Dozens of Other Practical, Unusual
1585420611,Women Can't Hear What Men Don't Say, Destroying Myths, Creating Love,Warren Farrell Ph.D.,2000,Jeremy P. Tarcher
1841492086,The Portable Door,Tom Holt,2004,Orbit Book Co.,3,89
